T,P_sat,vol_f,vol_g,h_f,h_g,mu_f,k_f,Pr_f,mu_g
134,304220.49,0.001073644,0.59792843,563466.8,2725544.7,0.000206051,0.6907151,1.273669,1.34394E-05
135,313224.27,0.001074646,0.58178998,567743.33,2726885.1,0.000204405,0.69074239,1.2640643,1.34739E-05
136,322442.39,0.001075654,0.56616996,572022.1,2728217.2,0.000202785,0.69075857,1.2546355,1.35085E-05
137,331878.59,0.001076668,0.55104916,576303.12,2729540.7,0.000201189,0.69076371,1.2453787,1.3543E-05
138,341536.63,0.00107769,0.53640917,580586.44,2730855.8,0.000199616,0.69075784,1.2362905,1.35776E-05
139,351420.32,0.001078719,0.52223238,584872.08,2732162.2,0.000198068,0.69074101,1.2273673,1.36121E-05
140,361533.5,0.001079755,0.50850186,589160.09,2733459.9,0.000196543,0.69071327,1.2186059,1.36466E-05
141,371880.05,0.001080797,0.4952014,593450.5,2734748.8,0.00019504,0.69067465,1.2100029,1.36812E-05
142,382463.89,0.001081847,0.48231546,597743.34,2736028.8,0.000193559,0.6906252,1.2015551,1.37157E-05
143,393288.96,0.001082904,0.46982911,602038.65,2737299.8,0.0001921,0.69056496,1.1932594,1.37503E-05
144,404359.26,0.001083967,0.45772803,606336.47,2738561.8,0.000190663,0.69049399,1.1851128,1.37848E-05
145,415678.81,0.001085038,0.44599849,610636.82,2739814.6,0.000189246,0.69041231,1.1771124,1.38193E-05
146,427251.67,0.001086116,0.43462731,614939.75,2741058.2,0.00018785,0.69031997,1.1692552,1.38538E-05
147,439081.94,0.001087202,0.42360182,619245.29,2742292.5,0.000186474,0.69021702,1.1615385,1.38884E-05
148,451173.75,0.001088294,0.41290987,623553.48,2743517.4,0.000185117,0.69010349,1.1539595,1.39229E-05
149,463531.28,0.001089394,0.40253978,627864.35,2744732.8,0.00018378,0.68997942,1.1465157,1.39574E-05
150,476158.72,0.001090501,0.39248035,632177.95,2745938.6,0.000182461,0.68984487,1.1392043,1.39919E-05
151,489060.33,0.001091616,0.38272079,636494.31,2747134.8,0.000181162,0.68969985,1.1320229,1.40264E-05
152,502240.38,0.001092738,0.37325076,640813.47,2748321.2,0.00017988,0.68954443,1.124969,1.40609E-05
153,515703.18,0.001093867,0.3640603,645135.47,2749497.7,0.000178616,0.68937862,1.1180402,1.40954E-05
154,529453.08,0.001095005,0.35513986,649460.34,2750664.4,0.00017737,0.68920249,1.1112342,1.41299E-05
155,543494.47,0.001096149,0.34648024,653788.13,2751821,0.00017614,0.68901605,1.1045488,1.41644E-05
156,557831.77,0.001097301,0.33807259,658118.87,2752967.5,0.000174928,0.68881936,1.0979816,1.41989E-05
157,572469.44,0.001098461,0.32990843,662452.6,2754103.8,0.000173732,0.68861244,1.0915306,1.42334E-05
158,587411.97,0.001099629,0.32197955,666789.36,2755229.9,0.000172552,0.68839534,1.0851937,1.42679E-05
159,602663.88,0.001100805,0.31427811,671129.2,2756345.6,0.000171388,0.68816809,1.0789687,1.43023E-05
160,618229.74,0.001101988,0.30679652,675472.16,2757450.8,0.00017024,0.68793074,1.0728538,1.43368E-05
161,634114.14,0.001103179,0.2995275,679818.27,2758545.4,0.000169107,0.6876833,1.0668469,1.43713E-05
162,650321.73,0.001104378,0.29246403,684167.57,2759629.5,0.000167989,0.68742583,1.0609461,1.44057E-05
163,666857.16,0.001105585,0.28559937,688520.11,2760702.8,0.000166886,0.68715836,1.0551496,1.44402E-05
164,683725.14,0.001106801,0.27892701,692875.93,2761765.2,0.000165797,0.68688092,1.0494556,1.44747E-05
165,700930.42,0.001108024,0.27244069,697235.08,2762816.8,0.000164722,0.68659354,1.0438623,1.45091E-05
166,718477.75,0.001109256,0.26613437,701597.59,2763857.4,0.000163661,0.68629627,1.038368,1.45435E-05
167,736371.95,0.001110495,0.26000226,705963.51,2764886.9,0.000162614,0.68598913,1.032971,1.4578E-05
168,754617.86,0.001111744,0.25403875,710332.88,2765905.2,0.00016158,0.68567215,1.0276697,1.46124E-05
169,773220.36,0.001113,0.24823844,714705.74,2766912.2,0.00016056,0.68534538,1.0224626,1.46469E-05
170,792184.36,0.001114265,0.24259614,719082.15,2767907.9,0.000159552,0.68500884,1.0173479,1.46813E-05
171,811514.8,0.001115538,0.23710684,723462.14,2768892.1,0.000158557,0.68466256,1.0123243,1.47157E-05
172,831216.66,0.00111682,0.23176571,727845.76,2769864.7,0.000157575,0.68430658,1.0073903,1.47502E-05
173,851294.95,0.001118111,0.22656808,732233.05,2770825.7,0.000156604,0.68394092,1.0025444,1.47846E-05
174,871754.73,0.00111941,0.22150947,736624.07,2771774.9,0.000155646,0.68356563,0.99778515,1.4819E-05
175,892601.07,0.001120718,0.21658554,741018.85,2772712.4,0.000154699,0.68318072,0.99311127,1.48534E-05
176,913839.09,0.001122035,0.21179211,745417.46,2773637.8,0.000153765,0.68278622,0.98852139,1.48878E-05
177,935473.94,0.001123361,0.20712514,749819.92,2774551.3,0.000152841,0.68238218,0.98401422,1.49223E-05
178,957510.8,0.001124696,0.20258075,754226.29,2775452.6,0.000151929,0.68196861,0.97958847,1.49567E-05
179,979954.89,0.00112604,0.19815518,758636.63,2776341.7,0.000151027,0.68154554,0.97524292,1.49911E-05
180,1002811.4,0.001127393,0.1938448,763050.97,2777218.5,0.000150137,0.68111301,0.97097636,1.50255E-05
181,1026085.8,0.001128756,0.18964611,767469.37,2778082.9,0.000149257,0.68067103,0.9667876,1.50599E-05
182,1049783.2,0.001130127,0.18555574,771891.87,2778934.7,0.000148387,0.68021964,0.96267551,1.50943E-05
183,1073909,0.001131508,0.18157041,776318.53,2779774,0.000147528,0.67975886,0.95863895,1.51288E-05
